FEATURE,METADATA.GROUP,METADATA.personal-code,METADATA.swymerId,METADATA.workDurationInSeconds,METADATA.workDurationInSeconds.main,METADATA.workDurationInSeconds.qualification,POINTS,POINTS.main,POINTS.qualification,ai-system-evaluation.additional-functionality,ai-system-evaluation.benefit-of-doubt,ai-system-evaluation.classification-comprehensible,ai-system-evaluation.easy-to-follow-what-system-does,ai-system-evaluation.know-what-will-happen-next-time,ai-system-evaluation.most-useful-explanation-feature,ai-system-evaluation.other-information-wish,ai-system-evaluation.rely-on-ai-system,ai-system-evaluation.sceptical-about-ai-system,ai-system-evaluation.system-able-to-classify-news-articles,ai-system-evaluation.system-able-to-detect-SDG,ai-system-evaluation.system-can-correctly-classify-news-articles,ai-system-evaluation.system-can-efficiently-classify-news-articles,ai-system-evaluation.system-criteria-acceptable,ai-system-evaluation.system-decides-consistently,ai-system-evaluation.system-decides-neutral,ai-system-evaluation.system-helpful,ai-system-evaluation.tend-to-trust-system-even-without-knowledge,ai-system-evaluation.tendency-to-trust-system-high,ai-system-evaluation.trust-new-tech,ai-system-evaluation.understand-what-system-bases-decision-on,ai-system-evaluation.understand-why-system-provided-decision,ai-system-evaluation.value-speed-or-comprehensiveness,demographics.age,demographics.country,demographics.education,demographics.employment,demographics.gender,demographics.income,demographics.nationality,expectations.benefit-of-doubt,expectations.rely-on-ai-for-sdg-detection,expectations.sceptical-about-ai,expectations.trust-ai,expectations.trust-new-tech,information-literacy.familiarity-sdgs,information-literacy.have-it-skills,information-literacy.identify-authentic-sources,information-literacy.identify-sdg,information-literacy.research-level-skilss,information-seeking.sources.A3,information-seeking.sources.A7,information-seeking.sources.A8,information-seeking.sources.B11,information-seeking.sources.B6,information-seeking.sources.B9,information-seeking.sources.K12,information-seeking.sources.K16,information-seeking.sources.K17,news-dashboard-evaluation.assist-decisions,news-dashboard-evaluation.complicated-explainability-features,news-dashboard-evaluation.comprehensible-explanations-help-assess-news-articles,news-dashboard-evaluation.help-detect-SDG-faster,news-dashboard-evaluation.increase-effectiveness-SDG-detection,news-dashboard-evaluation.long-learning-time-not-worth,news-dashboard-evaluation.satisfied-with-explanatory-quality,news-dashboard-evaluation.useful-explanations-news,newsitem.1.control-question,newsitem.1.rating-after-xai,newsitem.1.rating-before-xai,newsitem.1.system-evaluation.classified-correctly,newsitem.1.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.1.system-evaluation.indications-useful,newsitem.1.system-evaluation.indications-useful-concreteness,newsitem.1.system-evaluation.understand-what-system-does,newsitem.1.system-evaluation.xai-features-useful,newsitem.2.control-question,newsitem.2.rating-after-xai,newsitem.2.rating-before-xai,newsitem.2.system-evaluation.classified-correctly,newsitem.2.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.2.system-evaluation.indications-useful,newsitem.2.system-evaluation.indications-useful-concreteness,newsitem.2.system-evaluation.understand-what-system-does,newsitem.2.system-evaluation.xai-features-useful,newsitem.3.control-question,newsitem.3.rating-after-xai,newsitem.3.rating-before-xai,newsitem.3.system-evaluation.classified-correctly,newsitem.3.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.3.system-evaluation.indications-useful,newsitem.3.system-evaluation.indications-useful-concreteness,newsitem.3.system-evaluation.understand-what-system-does,newsitem.3.system-evaluation.xai-features-useful,newsitem.4.control-question,newsitem.4.rating-after-xai,newsitem.4.rating-before-xai,newsitem.4.system-evaluation.classified-correctly,newsitem.4.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.4.system-evaluation.indications-useful,newsitem.4.system-evaluation.indications-useful-concreteness,newsitem.4.system-evaluation.understand-what-system-does,newsitem.4.system-evaluation.xai-features-useful,newsitem.5.control-question,newsitem.5.rating-after-xai,newsitem.5.rating-before-xai,newsitem.5.system-evaluation.classified-correctly,newsitem.5.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.5.system-evaluation.indications-useful,newsitem.5.system-evaluation.indications-useful-concreteness,newsitem.5.system-evaluation.understand-what-system-does,newsitem.5.system-evaluation.xai-features-useful,newsitem.6.control-question,newsitem.6.rating-after-xai,newsitem.6.rating-before-xai,newsitem.6.system-evaluation.classified-correctly,newsitem.6.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.6.system-evaluation.indications-useful,newsitem.6.system-evaluation.indications-useful-concreteness,newsitem.6.system-evaluation.understand-what-system-does,newsitem.6.system-evaluation.xai-features-useful,newsitem.7.control-question,newsitem.7.rating-after-xai,newsitem.7.rating-before-xai,newsitem.7.system-evaluation.classified-correctly,newsitem.7.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.7.system-evaluation.indications-useful,newsitem.7.system-evaluation.indications-useful-concreteness,newsitem.7.system-evaluation.understand-what-system-does,newsitem.7.system-evaluation.xai-features-useful,newsitem.8.control-question,newsitem.8.rating-after-xai,newsitem.8.rating-before-xai,newsitem.8.system-evaluation.classified-correctly,newsitem.8.system-evaluation.explanations-comprehensible-and-help-assess,newsitem.8.system-evaluation.indications-useful,newsitem.8.system-evaluation.indications-useful-concreteness,newsitem.8.system-evaluation.understand-what-system-does,newsitem.8.system-evaluation.xai-features-useful
basic,2,19713,CX_79169039921,258,178,80,3,3,0,Nothing comes to mind. ,3,6,6,4,truthfulness-assessment,Nothing comes to mind. ,3,3,3,5,1,7,3,2,5,3,2,2,4,2,5,speed,30-39,Usa,high-school,other,female,50000-74999-usd,White,2,3,2,3,1,4,5,5,3,5,3,2,7,1,3,4,2,5,6,4,2,2,6,5,3,6,4,correct,-1,-1,3,5,4,7,2,5,correct,-1,-1,3,5,5,5,6,2,correct,-1,-1,5,4,3,2,3,3,wrong-1,-1,-1,3,6,4,2,6,4,wrong-2,-1,-1,4,3,5,4,3,5,wrong-1,-1,-1,5,3,2,2,3,2,wrong-1,-1.0,-1.0,,,,,,,,,,,,,,,
basic,2,svm73,CX_31975747433,1721,432,1289,2,2,0,Speed,4,3,5,5,truthfulness-assessment,The authenticity and speed,4,3,5,4,3,5,4,4,3,5,5,4,5,6,4,comprehensiveness,21-29,United Kingdom,university,salaried-employee,female,20000-34999-usd,Indian,5,4,4,5,4,4,4,6,4,5,4,5,4,3,3,4,4,5,3,4,3,4,5,5,3,4,5,wrong-2,64,69,5,5,5,3,5,4,wrong-1,-1,63,3,4,4,3,4,3,correct,63,59,4,3,4,4,5,3,wrong-1,65,63,4,3,3,4,3,4,correct,60,63,5,3,4,4,4,3,wrong-1,64,62,4,4,3,4,3,4,wrong-1,62.0,73.0,,,,,,,,,,,,,,,
basic,2,VJT09,CX_381218321691,1752,1178,574,5,5,0,I don’t know ,7,7,6,5,truthfulness-assessment,Nothing,7,7,4,6,7,5,6,6,5,7,5,7,7,6,6,comprehensiveness,30-39,United States of America ,high-school,unemployed,female,50000-74999-usd,American ,5,7,7,4,7,5,5,7,7,6,6,5,6,6,6,6,6,7,6,7,5,5,7,7,5,5,6,correct,89,74,7,7,7,7,7,7,correct,-1,-1,7,5,6,5,7,7,wrong-2,74,70,6,7,6,6,5,5,correct,-1,-1,3,6,6,6,7,6,correct,-1,-1,1,3,4,2,6,5,correct,-1,40,7,7,7,7,7,7,wrong-2,84.0,65.0,,,,,,,,,,,,,,,
basic,2,Abc12,CX_971252466090,5667,1245,4422,7,5,2,Ai highlights relevant passages,5,7,7,7,truthfulness-assessment,Implemented goals,7,2,7,7,7,7,7,7,4,7,6,6,5,7,7,comprehensiveness,50-59,United States,university,other,male,50000-74999-usd,American,6,4,2,6,2,6,7,6,7,7,7,7,6,6,6,4,7,7,7,7,1,7,7,7,1,7,7,correct,69,57,7,7,7,7,7,7,correct,-1,68,7,7,7,7,7,7,correct,47,36,7,7,7,7,7,7,correct,-1,-1,7,7,7,7,7,7,correct,-1,-1,1,7,1,1,7,7,wrong-2,13,18,3,7,6,6,7,2,correct,85.0,80.0,7.0,7.0,7.0,7.0,7.0,7.0,correct,-1.0,-1.0,7.0,7.0,7.0,7.0,7.0,7.0
basic,2,SKI877,CX_42129048083,1920,1127,793,7,5,2,More information ,5,5,5,5,truthfulness-assessment,More actions,4,5,5,5,5,5,3,4,4,5,4,4,5,5,4,comprehensiveness,50-59,UK,secondary,self-employed,female,20000-34999-usd,British ,5,3,5,4,5,4,5,5,5,4,7,7,6,4,6,5,7,6,4,4,4,4,4,4,5,3,5,correct,64,41,4,6,5,5,6,5,correct,-1,-1,4,6,6,5,4,4,wrong-1,30,22,3,6,6,6,6,6,correct,-1,-1,6,6,6,6,6,6,correct,-1,-1,3,6,6,4,6,6,correct,26,34,3,5,5,4,6,4,correct,49.0,56.0,6.0,6.0,6.0,6.0,6.0,6.0,correct,-1.0,-1.0,6.0,6.0,6.0,6.0,6.0,6.0
basic,2,VJA94,CX_22307456899,2768,1219,1549,7,5,2,None.,5,4,4,4,truthfulness-assessment,None.,5,6,6,6,6,6,4,6,4,5,5,4,5,4,4,comprehensiveness,30-39,United States of America ,high-school,other,female,35000-49999-usd,American,5,4,7,1,3,1,4,4,4,7,7,7,7,4,3,4,3,6,7,4,4,4,4,4,4,4,4,correct,90,74,6,6,4,4,6,4,correct,-1,40,5,4,5,5,4,5,correct,45,75,6,6,4,4,5,5,correct,-1,40,5,5,5,5,5,4,correct,51,-1,4,4,4,4,4,5,wrong-2,-1,35,4,4,4,4,4,4,correct,77.0,48.0,7.0,5.0,6.0,6.0,6.0,6.0,correct,80.0,81.0,6.0,6.0,6.0,6.0,5.0,5.0
basic,2,AHL41,CX_13462817447,2483,702,1781,8,6,2,To provide critical analysis and suggestions to improve SDG.,6,6,5,6,truthfulness-assessment,AI providing summaries and keynotes of SDG on reports ,5,3,6,6,6,6,6,6,5,6,5,5,5,6,6,comprehensiveness,30-39,Canada,university,salaried-employee,male,over-100000-usd,Canadian/Italian/ peruvian,6,6,3,6,5,4,6,6,6,6,7,7,6,6,7,5,7,7,7,6,6,6,6,6,2,6,6,correct,86,85,7,6,7,7,7,7,correct,-1,-1,7,7,7,7,6,7,correct,56,56,6,7,7,6,7,7,correct,-1,-1,7,6,6,6,6,6,correct,-1,-1,2,6,5,6,6,6,correct,54,51,2,6,6,6,6,6,correct,82.0,61.0,7.0,7.0,7.0,7.0,7.0,7.0,correct,-1.0,-1.0,7.0,7.0,7.0,7.0,7.0,7.0
basic,2,CGZ63,CX_84998384438,2188,1835,353,7,5,2,N/a ,7,7,7,7,truthfulness-assessment,N/a,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,speed,30-39,United Kingdom ,university,salaried-employee,male,50000-74999-usd,British ,7,5,4,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,wrong-2,82,47,7,7,7,7,7,7,correct,-1,-1,7,7,7,6,7,7,correct,49,59,7,7,7,6,7,7,correct,-1,-1,7,7,7,7,7,6,correct,38,-1,7,6,5,6,7,4,correct,48,48,2,7,7,6,7,7,correct,83.0,73.0,7.0,7.0,7.0,7.0,7.0,7.0,correct,-1.0,-1.0,7.0,7.0,7.0,7.0,7.0,7.0
basic,2,Bah45,CX_08169540968,3443,906,2537,8,6,2,Don't know,5,6,6,5,truthfulness-assessment,Don't know,3,5,6,5,5,5,6,6,6,3,5,5,5,6,6,comprehensiveness,30-39,Uk,university,unemployed,female,35000-49999-usd,British,5,3,5,4,3,1,6,6,6,6,7,7,7,4,4,6,7,6,7,6,3,6,5,5,3,6,6,correct,86,83,7,7,7,7,7,7,correct,-1,-1,7,7,7,7,7,7,correct,27,16,5,7,4,2,4,3,correct,-1,-1,7,7,6,6,5,5,correct,-1,-1,1,7,2,2,4,2,correct,36,37,3,7,5,3,5,4,correct,86.0,72.0,7.0,6.0,6.0,7.0,6.0,6.0,correct,-1.0,-1.0,7.0,6.0,6.0,7.0,6.0,6.0
basic,2,XXX99,CX_091430969487,3691,1457,2234,8,6,2,Not sure,5,1,1,1,truthfulness-assessment,Not sure,3,4,1,2,2,2,3,4,4,5,5,4,4,1,1,comprehensiveness,40-49,United States,university,other,male,over-100000-usd,American ,6,2,3,5,5,3,7,6,5,6,6,7,7,5,6,5,6,6,2,2,1,1,2,2,7,1,2,correct,70,69,5,4,5,4,2,3,correct,-1,-1,7,2,4,4,2,4,correct,84,85,2,2,2,1,2,4,correct,-1,-1,7,3,4,4,1,2,correct,30,-1,3,3,4,5,2,3,correct,50,49,2,1,1,1,1,2,correct,63.0,45.0,3.0,5.0,6.0,3.0,5.0,5.0,correct,-1.0,-1.0,6.0,6.0,6.0,6.0,6.0,5.0
